,,Varnodes matched @ level=NO_MATCH,Varnodes matched @ level=OVERLAP,Varnodes matched @ level=SUBSET,Varnodes matched @ level=ALIGNED,Varnodes matched @ level=MATCH,"Varnode comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
strip,INT,66,48,0,12204,8681,0.8498499928568027,0.996856993190152,0.413400638125625
strip,FLOAT,0,56,0,113,22,0.6321989528795812,1.0,0.1151832460732984
strip,POINTER,53,4,0,5834,3513,0.8389515099957465,0.994364100382816,0.3735644406635474
strip,ARRAY,729,597,565,19,228,0.3152478952291861,0.6590271281571563,0.1066417212347988
strip,STRUCT,152,955,432,390,106,0.4192874692874693,0.9253071253071252,0.052088452088452
strip,UNION,0,2,4,10,0,0.625,1.0,0.0
standard,INT,23,48,0,12248,8680,0.851373874946426,0.9989047097480832,0.4133530168103243
standard,FLOAT,0,56,0,113,22,0.6321989528795812,1.0,0.1151832460732984
standard,POINTER,44,4,0,5836,3520,0.8398553806890685,0.9953211399404508,0.3743088047639302
standard,ARRAY,181,578,352,45,982,0.625,0.9153414405986904,0.4593077642656688
standard,STRUCT,1,762,257,777,238,0.5600737100737101,0.9995085995085996,0.1169533169533169
standard,UNION,0,2,4,10,0,0.625,1.0,0.0
debug,INT,13,27,0,4,20955,0.99836896995095,0.9993809229010904,0.997904662126768
debug,FLOAT,0,0,0,0,191,1.0,1.0,1.0
debug,POINTER,3,0,0,1,9400,0.9996544023819652,0.9996809868141217,0.9995746490854956
debug,ARRAY,5,17,24,0,2092,0.9860851262862488,0.9976613657623948,0.9784845650140318
debug,STRUCT,2,8,0,0,2025,0.996068796068796,0.999017199017199,0.995085995085995
debug,UNION,0,0,0,2,14,0.96875,1.0,0.875
