,Ground truth varnodes (metatype=ARRAY),Decompiler varnodes matched @ level=NO_MATCH (metatype=ARRAY),Decompiler varnodes matched @ level=OVERLAP (metatype=ARRAY),Decompiler varnodes matched @ level=SUBSET (metatype=ARRAY),Decompiler varnodes matched @ level=ALIGNED (metatype=ARRAY),Decompiler varnodes matched @ level=MATCH (metatype=ARRAY),"Varnode average compare score [0,1] (metatype=ARRAY)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
[,15,1,5,3,0,6,0.5833333333333334,0.9333333333333333,0.4
b2sum,24,1,4,7,0,12,0.6875,0.9583333333333334,0.5
base32,12,2,2,2,0,6,0.625,0.8333333333333334,0.5
base64,12,1,2,2,0,7,0.7083333333333334,0.9166666666666666,0.5833333333333334
basename,10,1,2,2,0,5,0.65,0.9,0.5
basenc,20,5,2,2,0,11,0.625,0.75,0.55
cat,11,1,2,2,0,6,0.6818181818181818,0.9090909090909091,0.5454545454545454
chcon,18,1,10,2,0,5,0.4722222222222222,0.9444444444444444,0.2777777777777778
chgrp,15,1,7,2,0,5,0.5166666666666667,0.9333333333333333,0.3333333333333333
chmod,19,2,8,4,0,5,0.4736842105263157,0.8947368421052632,0.2631578947368421
chown,16,1,8,2,0,5,0.5,0.9375,0.3125
chroot,11,1,3,2,0,5,0.6136363636363636,0.9090909090909091,0.45454545454545453
cksum,66,11,9,13,1,32,0.6287878787878788,0.8333333333333334,0.48484848484848486
comm,22,1,7,3,1,10,0.6363636363636364,0.9545454545454546,0.45454545454545453
cp,40,3,13,4,3,17,0.6125,0.925,0.425
csplit,35,2,13,5,0,15,0.5928571428571429,0.9428571428571428,0.42857142857142855
cut,12,1,3,2,1,5,0.625,0.9166666666666666,0.4166666666666667
date,63,4,14,10,0,35,0.6904761904761905,0.9365079365079365,0.5555555555555556
dd,34,4,7,6,2,15,0.625,0.8823529411764706,0.4411764705882353
df,25,1,9,3,2,10,0.61,0.96,0.4
dir,71,3,27,6,3,32,0.6197183098591549,0.9577464788732394,0.4507042253521127
dircolors,13,2,2,2,0,7,0.6538461538461539,0.8461538461538461,0.5384615384615384
dirname,10,1,2,2,0,5,0.65,0.9,0.5
du,51,3,16,8,1,23,0.6225490196078431,0.9411764705882353,0.45098039215686275
echo,9,1,2,2,0,4,0.6111111111111112,0.8888888888888888,0.4444444444444444
env,18,2,7,2,1,6,0.5277777777777778,0.8888888888888888,0.3333333333333333
expand,13,1,3,2,0,7,0.6730769230769231,0.9230769230769231,0.5384615384615384
expr,33,2,9,7,0,15,0.6287878787878788,0.9393939393939394,0.45454545454545453
factor,37,1,9,9,0,18,0.668918918918919,0.972972972972973,0.4864864864864865
false,9,1,2,2,0,4,0.6111111111111112,0.8888888888888888,0.4444444444444444
fmt,12,1,2,2,0,7,0.7083333333333334,0.9166666666666666,0.5833333333333334
fold,12,1,3,2,0,6,0.6458333333333334,0.9166666666666666,0.5
groups,11,1,2,2,0,6,0.6818181818181818,0.9090909090909091,0.5454545454545454
head,18,1,9,2,0,6,0.5138888888888888,0.9444444444444444,0.3333333333333333
hostid,12,1,2,4,0,5,0.625,0.9166666666666666,0.4166666666666667
id,14,1,3,2,0,8,0.6964285714285714,0.9285714285714286,0.5714285714285714
join,18,1,3,2,1,11,0.75,0.9444444444444444,0.6111111111111112
kill,14,3,4,2,0,5,0.5,0.7857142857142857,0.35714285714285715
link,12,1,2,4,0,5,0.625,0.9166666666666666,0.4166666666666667
ln,22,2,6,2,3,9,0.625,0.9090909090909091,0.4090909090909091
logname,12,1,2,4,0,5,0.625,0.9166666666666666,0.4166666666666667
ls,71,3,27,6,3,32,0.6197183098591549,0.9577464788732394,0.4507042253521127
md5sum,16,2,6,2,0,6,0.53125,0.875,0.375
mkdir,19,2,7,3,0,7,0.5394736842105263,0.8947368421052632,0.3684210526315789
mkfifo,12,2,3,2,0,5,0.5625,0.8333333333333334,0.4166666666666667
mknod,12,2,3,2,0,5,0.5625,0.8333333333333334,0.4166666666666667
mktemp,12,2,2,2,0,6,0.625,0.8333333333333334,0.5
mv,34,3,13,4,3,11,0.5441176470588235,0.9117647058823529,0.3235294117647059
nice,10,1,2,2,0,5,0.65,0.9,0.5
nl,36,5,8,5,1,17,0.6180555555555556,0.8611111111111112,0.4722222222222222
nohup,13,1,3,4,0,5,0.5961538461538461,0.9230769230769231,0.38461538461538464
nproc,10,1,2,2,0,5,0.65,0.9,0.5
numfmt,20,1,3,3,0,13,0.7625,0.95,0.65
od,40,2,12,5,1,20,0.65625,0.95,0.5
paste,10,1,2,2,0,5,0.65,0.9,0.5
pathchk,10,1,2,2,0,5,0.65,0.9,0.5
pinky,17,1,7,2,0,7,0.5735294117647058,0.9411764705882353,0.4117647058823529
pr,20,2,6,5,0,7,0.55,0.9,0.35
printenv,10,1,2,2,0,5,0.65,0.9,0.5
printf,17,1,4,5,0,7,0.6176470588235294,0.9411764705882353,0.4117647058823529
ptx,39,2,9,5,4,19,0.6858974358974359,0.9487179487179487,0.48717948717948717
pwd,10,1,2,2,0,5,0.65,0.9,0.5
readlink,12,1,3,2,1,5,0.625,0.9166666666666666,0.4166666666666667
realpath,11,1,2,2,1,5,0.6590909090909091,0.9090909090909091,0.45454545454545453
rm,15,1,5,2,0,7,0.6166666666666667,0.9333333333333333,0.4666666666666667
rmdir,14,1,3,3,0,7,0.6607142857142857,0.9285714285714286,0.5
runcon,10,1,2,2,0,5,0.65,0.9,0.5
seq,15,1,2,3,1,8,0.7166666666666667,0.9333333333333333,0.5333333333333333
sha1sum,16,2,3,3,0,8,0.640625,0.875,0.5
sha224sum,17,2,5,3,0,7,0.5735294117647058,0.8823529411764706,0.4117647058823529
sha256sum,17,2,5,3,0,7,0.5735294117647058,0.8823529411764706,0.4117647058823529
sha384sum,17,3,3,3,0,8,0.6029411764705882,0.8235294117647058,0.47058823529411764
sha512sum,17,3,3,3,0,8,0.6029411764705882,0.8235294117647058,0.47058823529411764
shred,27,2,10,2,1,12,0.6018518518518519,0.9259259259259259,0.4444444444444444
shuf,12,1,3,2,0,6,0.6458333333333334,0.9166666666666666,0.5
sleep,12,1,2,4,0,5,0.625,0.9166666666666666,0.4166666666666667
sort,46,6,17,5,1,17,0.532608695652174,0.8695652173913043,0.3695652173913043
split,18,2,7,2,0,7,0.5416666666666666,0.8888888888888888,0.3888888888888889
stat,32,5,7,6,0,14,0.5859375,0.84375,0.4375
stdbuf,16,1,3,4,0,8,0.671875,0.9375,0.5
stty,19,1,4,3,0,11,0.7105263157894737,0.9473684210526315,0.5789473684210527
sum,22,2,6,2,1,11,0.6477272727272727,0.9090909090909091,0.5
sync,11,1,3,2,0,5,0.6136363636363636,0.9090909090909091,0.45454545454545453
tac,33,2,9,5,0,17,0.6590909090909091,0.9393939393939394,0.5151515151515151
tail,20,1,9,3,1,6,0.525,0.95,0.3
tee,14,1,4,2,0,7,0.6428571428571429,0.9285714285714286,0.5
test,12,0,4,2,0,6,0.6666666666666666,1.0,0.5
timeout,13,2,4,2,0,5,0.5384615384615384,0.8461538461538461,0.38461538461538464
touch,56,3,13,7,0,33,0.7098214285714286,0.9464285714285714,0.5892857142857143
tr,17,1,3,3,0,10,0.7205882352941176,0.9411764705882353,0.5882352941176471
true,9,1,2,2,0,4,0.6111111111111112,0.8888888888888888,0.4444444444444444
truncate,10,1,2,2,0,5,0.65,0.9,0.5
tsort,13,1,3,4,0,5,0.5961538461538461,0.9230769230769231,0.38461538461538464
tty,10,1,2,2,0,5,0.65,0.9,0.5
uname,12,2,2,2,0,6,0.625,0.8333333333333334,0.5
unexpand,11,1,2,2,0,6,0.6818181818181818,0.9090909090909091,0.5454545454545454
uniq,15,1,3,2,0,9,0.7166666666666667,0.9333333333333333,0.6
unlink,12,1,2,4,0,5,0.625,0.9166666666666666,0.4166666666666667
uptime,18,1,4,7,0,6,0.5833333333333334,0.9444444444444444,0.3333333333333333
users,12,1,2,4,0,5,0.625,0.9166666666666666,0.4166666666666667
vdir,71,3,27,6,3,32,0.6197183098591549,0.9577464788732394,0.4507042253521127
wc,16,1,3,4,2,6,0.640625,0.9375,0.375
who,25,1,4,3,2,15,0.76,0.96,0.6
whoami,12,1,2,4,0,5,0.625,0.9166666666666666,0.4166666666666667
yes,12,1,2,4,0,5,0.625,0.9166666666666666,0.4166666666666667
