,Ground truth varnodes w/ metatype=INT,Missed varnodes w/ metatype=INT,Decompiler varnodes w/ metatype=INT matched @ level=OVERLAP,Decompiler varnodes w/ metatype=INT matched @ level=SUBSET,Decompiler varnodes w/ metatype=INT matched @ level=ALIGNED,Decompiler varnodes w/ metatype=INT matched @ level=MATCH,"Varnode average compare score [0,1] w/ metatype=INT"
[,157,0,0,0,83,74,0.8678343949044586
b2sum,147,0,0,0,80,67,0.8639455782312925
base32,96,0,0,0,51,45,0.8671875
base64,96,0,0,0,51,45,0.8671875
basename,71,0,0,0,47,24,0.8345070422535211
basenc,133,0,1,0,70,62,0.8627819548872181
cat,101,0,0,0,64,37,0.8415841584158416
chcon,185,0,0,0,124,61,0.8324324324324325
chgrp,166,0,0,0,102,64,0.8463855421686747
chmod,176,0,0,0,110,66,0.84375
chown,176,0,0,0,103,73,0.8536931818181818
chroot,110,0,1,0,53,56,0.8727272727272727
cksum,516,30,0,0,329,157,0.7824612403100775
comm,104,0,0,0,74,30,0.8221153846153846
cp,382,0,1,0,208,173,0.8619109947643979
csplit,632,0,1,0,331,300,0.867879746835443
cut,124,0,0,0,81,43,0.8366935483870968
date,516,0,10,0,321,185,0.8299418604651163
dd,332,0,0,0,187,145,0.8591867469879518
df,327,0,0,0,158,169,0.8792048929663608
dir,616,0,3,0,368,245,0.8469967532467533
dircolors,90,0,0,0,58,32,0.8388888888888889
dirname,73,0,0,0,47,26,0.839041095890411
du,944,0,3,0,528,413,0.8577860169491526
echo,69,0,0,0,45,24,0.8369565217391305
env,112,0,0,0,61,51,0.8638392857142857
expand,94,0,0,0,59,35,0.8430851063829787
expr,573,0,1,0,292,280,0.8712914485165794
factor,343,21,2,0,128,192,0.8411078717201166
false,62,0,0,0,40,22,0.8387096774193549
fmt,112,0,0,0,72,40,0.8392857142857143
fold,88,0,0,0,51,37,0.8551136363636364
groups,81,0,0,0,51,30,0.8425925925925926
head,138,0,0,0,82,56,0.8514492753623188
hostid,67,0,0,0,45,22,0.832089552238806
id,112,0,0,0,69,43,0.8459821428571429
join,162,0,0,0,104,58,0.8395061728395061
kill,88,0,0,0,52,36,0.8522727272727273
link,66,0,0,0,44,22,0.8333333333333334
ln,220,0,0,0,125,95,0.8579545454545454
logname,66,0,0,0,44,22,0.8333333333333334
ls,616,0,3,0,368,245,0.8469967532467533
md5sum,139,0,0,0,81,58,0.85431654676259
mkdir,196,0,0,0,102,94,0.8698979591836735
mkfifo,88,0,0,0,53,35,0.8494318181818182
mknod,100,0,0,0,54,46,0.865
mktemp,96,0,0,0,60,36,0.84375
mv,428,0,0,0,241,187,0.8592289719626168
nice,77,0,0,0,47,30,0.8474025974025974
nl,571,0,1,0,294,276,0.8699649737302977
nohup,99,0,0,0,71,28,0.8207070707070707
nproc,86,0,0,0,51,35,0.8517441860465116
numfmt,184,0,0,0,98,86,0.8668478260869565
od,294,0,1,0,146,147,0.8732993197278912
paste,85,0,0,0,55,30,0.8382352941176471
pathchk,85,0,0,0,57,28,0.8323529411764706
pinky,96,0,0,0,65,31,0.8307291666666666
pr,399,0,1,0,262,136,0.8339598997493735
printenv,68,0,0,0,42,26,0.8455882352941176
printf,168,0,2,0,85,81,0.8645833333333334
ptx,686,0,1,0,353,332,0.8702623906705539
pwd,75,0,0,0,50,25,0.8333333333333334
readlink,112,0,0,0,69,43,0.8459821428571429
realpath,112,0,0,0,65,47,0.8549107142857143
rm,185,0,0,0,115,70,0.8445945945945946
rmdir,139,0,0,0,73,66,0.8687050359712231
runcon,65,0,0,0,42,23,0.8384615384615385
seq,156,0,0,0,81,75,0.8701923076923077
sha1sum,138,0,0,0,78,60,0.8586956521739131
sha224sum,145,0,0,0,80,65,0.8620689655172413
sha256sum,145,0,0,0,80,65,0.8620689655172413
sha384sum,301,0,0,0,236,65,0.8039867109634552
sha512sum,301,0,0,0,236,65,0.8039867109634552
shred,238,0,0,0,140,98,0.8529411764705882
shuf,210,0,0,0,129,81,0.8464285714285714
sleep,76,0,0,0,49,27,0.8388157894736842
sort,440,0,0,0,260,180,0.8522727272727273
split,195,0,0,0,109,86,0.8602564102564103
stat,392,0,1,0,237,154,0.8469387755102041
stdbuf,156,0,0,0,80,76,0.8717948717948718
stty,189,0,1,0,89,99,0.8783068783068783
sum,183,0,0,0,99,84,0.8647540983606558
sync,83,0,0,0,54,29,0.8373493975903614
tac,597,0,1,0,316,280,0.8664154103852596
tail,239,0,0,0,141,98,0.852510460251046
tee,95,0,0,0,62,33,0.8368421052631579
test,155,0,0,0,83,72,0.8661290322580645
timeout,95,0,0,0,55,40,0.8552631578947368
touch,396,0,9,0,244,143,0.8289141414141414
tr,153,0,0,0,70,83,0.8856209150326797
true,62,0,0,0,40,22,0.8387096774193549
truncate,91,0,0,0,55,36,0.8489010989010989
tsort,85,0,0,0,55,30,0.8382352941176471
tty,65,0,0,0,43,22,0.8346153846153846
uname,67,0,0,0,43,24,0.8395522388059702
unexpand,101,0,0,0,61,40,0.849009900990099
uniq,125,0,0,0,79,46,0.842
unlink,66,0,0,0,44,22,0.8333333333333334
uptime,261,0,1,0,174,86,0.8304597701149425
users,73,0,0,0,47,26,0.839041095890411
vdir,616,0,3,0,368,245,0.8469967532467533
wc,184,36,0,0,90,58,0.6820652173913043
who,158,0,0,0,90,68,0.8575949367088608
whoami,68,0,0,0,46,22,0.8308823529411765
yes,76,0,0,0,50,26,0.8355263157894737
