,Ground truth varnodes,Decompiler varnodes matched @ level NO_MATCH,Decompiler varnodes matched @ level OVERLAP,Decompiler varnodes matched @ level SUBSET,Decompiler varnodes matched @ level ALIGNED,Decompiler varnodes matched @ level MATCH,"Varnode average compare score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
[,2,0,0,0,0,2,1.0,1.0,1.0
b2sum,0,0,0,0,0,0,,,
base32,0,0,0,0,0,0,,,
base64,0,0,0,0,0,0,,,
basename,0,0,0,0,0,0,,,
basenc,0,0,0,0,0,0,,,
cat,0,0,0,0,0,0,,,
chcon,3,0,0,0,0,3,1.0,1.0,1.0
chgrp,3,0,0,0,0,3,1.0,1.0,1.0
chmod,3,0,0,0,0,3,1.0,1.0,1.0
chown,3,0,0,0,0,3,1.0,1.0,1.0
chroot,0,0,0,0,0,0,,,
cksum,3,0,0,0,0,3,1.0,1.0,1.0
comm,0,0,0,0,0,0,,,
cp,3,0,0,0,0,3,1.0,1.0,1.0
csplit,0,0,0,0,0,0,,,
cut,0,0,0,0,0,0,,,
date,2,0,0,0,0,2,1.0,1.0,1.0
dd,7,0,0,0,0,7,1.0,1.0,1.0
df,13,0,0,0,0,13,1.0,1.0,1.0
dir,6,0,0,0,0,6,1.0,1.0,1.0
dircolors,0,0,0,0,0,0,,,
dirname,0,0,0,0,0,0,,,
du,6,0,0,0,0,6,1.0,1.0,1.0
echo,0,0,0,0,0,0,,,
env,0,0,0,0,0,0,,,
expand,0,0,0,0,0,0,,,
expr,0,0,0,0,0,0,,,
factor,0,0,0,0,0,0,,,
false,0,0,0,0,0,0,,,
fmt,0,0,0,0,0,0,,,
fold,0,0,0,0,0,0,,,
groups,0,0,0,0,0,0,,,
head,0,0,0,0,0,0,,,
hostid,0,0,0,0,0,0,,,
id,0,0,0,0,0,0,,,
join,0,0,0,0,0,0,,,
kill,0,0,0,0,0,0,,,
link,0,0,0,0,0,0,,,
ln,3,0,0,0,0,3,1.0,1.0,1.0
logname,0,0,0,0,0,0,,,
ls,6,0,0,0,0,6,1.0,1.0,1.0
md5sum,0,0,0,0,0,0,,,
mkdir,2,0,0,0,0,2,1.0,1.0,1.0
mkfifo,0,0,0,0,0,0,,,
mknod,0,0,0,0,0,0,,,
mktemp,0,0,0,0,0,0,,,
mv,3,0,0,0,0,3,1.0,1.0,1.0
nice,0,0,0,0,0,0,,,
nl,0,0,0,0,0,0,,,
nohup,0,0,0,0,0,0,,,
nproc,0,0,0,0,0,0,,,
numfmt,7,0,0,0,0,7,1.0,1.0,1.0
od,11,0,0,0,0,11,1.0,1.0,1.0
paste,0,0,0,0,0,0,,,
pathchk,0,0,0,0,0,0,,,
pinky,0,0,0,0,0,0,,,
pr,0,0,0,0,0,0,,,
printenv,0,0,0,0,0,0,,,
printf,7,0,0,0,0,7,1.0,1.0,1.0
ptx,0,0,0,0,0,0,,,
pwd,0,0,0,0,0,0,,,
readlink,3,0,0,0,0,3,1.0,1.0,1.0
realpath,3,0,0,0,0,3,1.0,1.0,1.0
rm,3,0,0,0,0,3,1.0,1.0,1.0
rmdir,2,0,0,0,0,2,1.0,1.0,1.0
runcon,0,0,0,0,0,0,,,
seq,10,0,0,0,0,10,1.0,1.0,1.0
sha1sum,0,0,0,0,0,0,,,
sha224sum,0,0,0,0,0,0,,,
sha256sum,0,0,0,0,0,0,,,
sha384sum,0,0,0,0,0,0,,,
sha512sum,0,0,0,0,0,0,,,
shred,3,0,0,0,0,3,1.0,1.0,1.0
shuf,3,0,0,0,0,3,1.0,1.0,1.0
sleep,7,0,0,0,0,7,1.0,1.0,1.0
sort,18,0,0,0,0,18,1.0,1.0,1.0
split,0,0,0,0,0,0,,,
stat,2,0,0,0,0,2,1.0,1.0,1.0
stdbuf,2,0,0,0,0,2,1.0,1.0,1.0
stty,2,0,0,0,0,2,1.0,1.0,1.0
sum,3,0,0,0,0,3,1.0,1.0,1.0
sync,0,0,0,0,0,0,,,
tac,0,0,0,0,0,0,,,
tail,11,0,0,0,0,11,1.0,1.0,1.0
tee,0,0,0,0,0,0,,,
test,2,0,0,0,0,2,1.0,1.0,1.0
timeout,8,0,0,0,0,8,1.0,1.0,1.0
touch,2,0,0,0,0,2,1.0,1.0,1.0
tr,0,0,0,0,0,0,,,
true,0,0,0,0,0,0,,,
truncate,0,0,0,0,0,0,,,
tsort,0,0,0,0,0,0,,,
tty,0,0,0,0,0,0,,,
uname,0,0,0,0,0,0,,,
unexpand,0,0,0,0,0,0,,,
uniq,0,0,0,0,0,0,,,
unlink,0,0,0,0,0,0,,,
uptime,2,0,0,0,0,2,1.0,1.0,1.0
users,0,0,0,0,0,0,,,
vdir,6,0,0,0,0,6,1.0,1.0,1.0
wc,4,0,0,0,0,4,1.0,1.0,1.0
who,2,0,0,0,0,2,1.0,1.0,1.0
whoami,0,0,0,0,0,0,,,
yes,0,0,0,0,0,0,,,
