,Ground truth varnodes (metatype=POINTER),Decompiler varnodes matched @ level=NO_MATCH (metatype=POINTER),Decompiler varnodes matched @ level=OVERLAP (metatype=POINTER),Decompiler varnodes matched @ level=SUBSET (metatype=POINTER),Decompiler varnodes matched @ level=ALIGNED (metatype=POINTER),Decompiler varnodes matched @ level=MATCH (metatype=POINTER),"Varnode average compare score [0,1] (metatype=POINTER)"
[,68,0,0,0,38,30,0.8602941176470589
b2sum,56,0,0,0,32,24,0.8571428571428571
base32,41,0,0,0,24,17,0.8536585365853658
base64,41,0,0,0,24,17,0.8536585365853658
basename,38,0,0,0,24,14,0.8421052631578947
basenc,55,0,0,0,30,25,0.8636363636363636
cat,41,0,0,0,28,13,0.8292682926829268
chcon,134,1,0,0,93,40,0.8190298507462687
chgrp,133,1,0,0,90,42,0.8233082706766918
chmod,127,1,0,0,89,37,0.8169291338582677
chown,142,1,0,0,94,47,0.8274647887323944
chroot,67,0,0,0,28,39,0.8955223880597015
cksum,114,15,0,0,56,43,0.7456140350877193
comm,35,0,0,0,22,13,0.8428571428571429
cp,231,0,0,0,132,99,0.8571428571428571
csplit,280,6,0,0,203,71,0.7973214285714286
cut,46,0,0,0,29,17,0.842391304347826
date,125,0,0,0,57,68,0.886
dd,98,0,0,0,50,48,0.8724489795918368
df,244,0,0,0,110,134,0.8872950819672131
dir,298,0,0,0,173,125,0.8548657718120806
dircolors,76,0,0,0,50,26,0.8355263157894737
dirname,32,0,0,0,21,11,0.8359375
du,446,7,0,0,297,142,0.8178251121076233
echo,30,0,0,0,20,10,0.8333333333333334
env,54,0,0,0,32,22,0.8518518518518519
expand,35,0,0,0,25,10,0.8214285714285714
expr,267,6,0,0,198,63,0.7921348314606742
factor,98,1,0,0,57,40,0.8443877551020408
false,28,0,0,0,20,8,0.8214285714285714
fmt,52,0,0,0,32,20,0.8461538461538461
fold,33,0,0,0,21,12,0.8409090909090909
groups,40,0,0,0,23,17,0.85625
head,47,0,0,0,28,19,0.851063829787234
hostid,29,0,0,0,21,8,0.8189655172413793
id,60,0,0,0,27,33,0.8875
join,66,0,0,0,38,28,0.8560606060606061
kill,36,0,0,0,21,15,0.8541666666666666
link,29,0,0,0,21,8,0.8189655172413793
ln,166,0,0,0,95,71,0.8569277108433735
logname,30,0,0,0,22,8,0.8166666666666667
ls,298,0,0,0,173,125,0.8548657718120806
md5sum,50,0,0,0,33,17,0.835
mkdir,71,0,0,0,39,32,0.8626760563380281
mkfifo,36,0,0,0,27,9,0.8125
mknod,41,0,0,0,29,12,0.823170731707317
mktemp,44,0,0,0,28,16,0.8409090909090909
mv,254,1,0,0,174,79,0.8248031496062992
nice,33,0,0,0,20,13,0.8484848484848485
nl,255,6,0,0,175,74,0.8049019607843138
nohup,40,0,0,0,28,12,0.825
nproc,32,0,0,0,20,12,0.84375
numfmt,70,0,0,0,36,34,0.8714285714285714
od,93,0,0,0,40,53,0.8924731182795699
paste,37,0,0,0,24,13,0.8378378378378378
pathchk,33,0,0,0,23,10,0.8257575757575758
pinky,57,0,0,0,38,19,0.8333333333333334
pr,102,0,0,0,63,39,0.8455882352941176
printenv,31,0,0,0,20,11,0.8387096774193549
printf,76,0,2,0,40,34,0.8486842105263158
ptx,339,6,0,0,220,113,0.8200589970501475
pwd,41,0,0,0,30,11,0.8170731707317073
readlink,105,0,0,0,57,48,0.8642857142857143
realpath,110,0,0,0,62,48,0.8590909090909091
rm,136,1,0,0,95,40,0.8180147058823529
rmdir,66,0,0,0,35,31,0.8674242424242424
runcon,36,0,0,0,27,9,0.8125
seq,81,0,1,0,39,41,0.8703703703703703
sha1sum,49,0,0,0,32,17,0.8367346938775511
sha224sum,50,0,0,0,33,17,0.835
sha256sum,50,0,0,0,33,17,0.835
sha384sum,50,0,0,0,33,17,0.835
sha512sum,50,0,0,0,33,17,0.835
shred,87,0,0,0,55,32,0.8419540229885057
shuf,134,0,0,0,78,56,0.8544776119402985
sleep,35,0,0,0,23,12,0.8357142857142857
sort,299,0,0,0,181,118,0.8486622073578596
split,69,0,0,0,41,28,0.8514492753623188
stat,150,0,0,0,74,76,0.8766666666666667
stdbuf,79,0,0,0,40,39,0.8734177215189873
stty,73,0,0,0,39,34,0.8664383561643836
sum,60,0,0,0,33,27,0.8625
sync,29,0,0,0,21,8,0.8189655172413793
tac,258,6,0,0,185,67,0.7974806201550387
tail,124,0,1,0,65,58,0.8629032258064516
tee,35,0,0,0,25,10,0.8214285714285714
test,67,0,0,0,38,29,0.8582089552238806
timeout,41,0,0,0,23,18,0.8597560975609756
touch,110,0,0,0,53,57,0.8795454545454545
tr,58,0,0,0,39,19,0.8318965517241379
true,28,0,0,0,20,8,0.8214285714285714
truncate,32,0,0,0,22,10,0.828125
tsort,52,0,0,0,35,17,0.8317307692307693
tty,29,0,0,0,20,9,0.8275862068965517
uname,30,0,0,0,22,8,0.8166666666666667
unexpand,36,0,0,0,25,11,0.8263888888888888
uniq,50,0,0,0,30,20,0.85
unlink,29,0,0,0,21,8,0.8189655172413793
uptime,57,0,0,0,37,20,0.8377192982456141
users,38,0,0,0,28,10,0.8157894736842105
vdir,298,0,0,0,173,125,0.8548657718120806
wc,89,5,0,0,52,32,0.797752808988764
who,83,0,0,0,44,39,0.8674698795180723
whoami,30,0,0,0,22,8,0.8166666666666667
yes,34,0,0,0,24,10,0.8235294117647058
