,Ground truth varnodes (metatype=STRUCT),Decompiler varnodes matched @ level=NO_MATCH (metatype=STRUCT),Decompiler varnodes matched @ level=OVERLAP (metatype=STRUCT),Decompiler varnodes matched @ level=SUBSET (metatype=STRUCT),Decompiler varnodes matched @ level=ALIGNED (metatype=STRUCT),Decompiler varnodes matched @ level=MATCH (metatype=STRUCT),"Varnode average compare score [0,1] (metatype=STRUCT)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
stat,32,0,12,8,9,3,0.5234375,1.0,0.09375
nohup,10,0,4,0,6,0,0.55,1.0,0.0
pinky,12,0,4,0,7,1,0.6041666666666666,1.0,0.08333333333333333
csplit,56,0,27,10,10,9,0.5044642857142857,1.0,0.16071428571428573
fmt,10,0,4,0,6,0,0.55,1.0,0.0
df,37,0,8,8,12,9,0.6486486486486487,1.0,0.24324324324324326
join,14,0,5,1,8,0,0.5535714285714286,1.0,0.0
expr,59,0,27,18,9,5,0.4661016949152542,1.0,0.0847457627118644
seq,17,0,8,3,6,0,0.4705882352941176,1.0,0.0
unexpand,10,0,4,0,6,0,0.55,1.0,0.0
tsort,12,0,6,0,6,0,0.5,1.0,0.0
tee,10,0,4,0,6,0,0.55,1.0,0.0
base64,11,0,4,0,7,0,0.5681818181818182,1.0,0.0
sum,10,0,4,0,6,0,0.55,1.0,0.0
cksum,22,0,13,0,9,0,0.4545454545454545,1.0,0.0
wc,16,0,4,1,5,6,0.703125,1.0,0.375
